VGS_V,VDS_V,Temperature_C,Width_um,Length_um,ID_mA
0.0,0.0,0,2.0,0.18,1.0478523300000001e-13
0.2,0.0,0,2.0,0.18,-0.0
0.4,0.0,0,2.0,0.18,-0.0
0.6,0.0,0,2.0,0.18,-0.0
0.8,0.0,0,2.0,0.18,-0.0
1.0,0.0,0,2.0,0.18,-0.0
1.2,0.0,0,2.0,0.18,-0.0
1.4,0.0,0,2.0,0.18,-0.0
1.6,0.0,0,2.0,0.18,-0.0
1.8,0.0,0,2.0,0.18,-0.0
0.0,0.2,0,2.0,0.18,2.00104785e-10
0.2,0.2,0,2.0,0.18,2.00104785e-10
0.4,0.2,0,2.0,0.18,2.00104785e-10
0.6,0.2,0,2.0,0.18,2.00104785e-10
0.8,0.2,0,2.0,0.18,0.00694264592
1.0,0.2,0,2.0,0.18,0.089180048
1.2,0.2,0,2.0,0.18,0.191978578
1.4,0.2,0,2.0,0.18,0.29477710799999995
1.6,0.2,0,2.0,0.18,0.397575638
1.8,0.2,0,2.0,0.18,0.500374168
0.0,0.4,0,2.0,0.18,4.00104785e-10
0.2,0.4,0,2.0,0.18,4.00104785e-10
0.4,0.4,0,2.0,0.18,4.00104785e-10
0.6,0.4,0,2.0,0.18,4.00104785e-10
0.8,0.4,0,2.0,0.18,0.0069703060600000005
1.0,0.4,0,2.0,0.18,0.0965056529
1.2,0.4,0,2.0,0.18,0.28227878
1.4,0.4,0,2.0,0.18,0.488694952
1.6,0.4,0,2.0,0.18,0.6951111240000001
1.8,0.4,0,2.0,0.18,0.9015272959999999
0.0,0.6,0,2.0,0.18,6.001047849999999e-10
0.2,0.6,0,2.0,0.18,6.001047849999999e-10
0.4,0.6,0,2.0,0.18,6.001047849999999e-10
0.6,0.6,0,2.0,0.18,6.001047849999999e-10
0.8,0.6,0,2.0,0.18,0.00699796621
1.0,0.6,0,2.0,0.18,0.096888612
1.2,0.6,0,2.0,0.18,0.29039689999999996
1.4,0.6,0,2.0,0.18,0.580524864
1.6,0.6,0,2.0,0.18,0.8913777890000001
1.8,0.6,0,2.0,0.18,1.20223071
0.0,0.8,0,2.0,0.18,8.00104785e-10
0.2,0.8,0,2.0,0.18,8.00104785e-10
0.4,0.8,0,2.0,0.18,8.00104785e-10
0.6,0.8,0,2.0,0.18,8.00104785e-10
0.8,0.8,0,2.0,0.18,0.00702562635
1.0,0.8,0,2.0,0.18,0.0972715712
1.2,0.8,0,2.0,0.18,0.291544714
1.4,0.8,0,2.0,0.18,0.589845054
1.6,0.8,0,2.0,0.18,0.9851469669999999
1.8,0.8,0,2.0,0.18,1.40125576
0.0,1.0,0,2.0,0.18,1.00010479e-09
0.2,1.0,0,2.0,0.18,1.00010479e-09
0.4,1.0,0,2.0,0.18,1.00010479e-09
0.6,1.0,0,2.0,0.18,1.00010479e-09
0.8,1.0,0,2.0,0.18,0.0070532864899999995
1.0,1.0,0,2.0,0.18,0.0976545303
1.2,1.0,0,2.0,0.18,0.292692528
1.4,1.0,0,2.0,0.18,0.592167279
1.6,1.0,0,2.0,0.18,0.9960787839999999
1.8,1.0,0,2.0,0.18,1.4973737599999999
0.0,1.2,0,2.0,0.18,1.20010479e-09
0.2,1.2,0,2.0,0.18,1.20010479e-09
0.4,1.2,0,2.0,0.18,1.20010479e-09
0.6,1.2,0,2.0,0.18,1.20010479e-09
0.8,1.2,0,2.0,0.18,0.00708094663
1.0,1.2,0,2.0,0.18,0.0980374894
1.2,1.2,0,2.0,0.18,0.29384034200000003
1.4,1.2,0,2.0,0.18,0.594489504
1.6,1.2,0,2.0,0.18,0.9999849749999999
1.8,1.2,0,2.0,0.18,1.5103267599999999
0.0,1.4,0,2.0,0.18,1.40010479e-09
0.2,1.4,0,2.0,0.18,1.40010479e-09
0.4,1.4,0,2.0,0.18,1.40010479e-09
0.6,1.4,0,2.0,0.18,1.40010479e-09
0.8,1.4,0,2.0,0.18,0.0071086067799999994
1.0,1.4,0,2.0,0.18,0.0984204486
1.2,1.4,0,2.0,0.18,0.294988156
1.4,1.4,0,2.0,0.18,0.5968117289999999
1.6,1.4,0,2.0,0.18,1.00389117
1.8,1.4,0,2.0,0.18,1.5162264699999999
0.0,1.6,0,2.0,0.18,1.6001047900000001e-09
0.2,1.6,0,2.0,0.18,1.6001047900000001e-09
0.4,1.6,0,2.0,0.18,1.6001047900000001e-09
0.6,1.6,0,2.0,0.18,1.6001047900000001e-09
0.8,1.6,0,2.0,0.18,0.00713626692
1.0,1.6,0,2.0,0.18,0.0988034077
1.2,1.6,0,2.0,0.18,0.29613597
1.4,1.6,0,2.0,0.18,0.599133953
1.6,1.6,0,2.0,0.18,1.00779736
1.8,1.6,0,2.0,0.18,1.52212618
0.0,1.8,0,2.0,0.18,1.80010479e-09
0.2,1.8,0,2.0,0.18,1.80010479e-09
0.4,1.8,0,2.0,0.18,1.80010479e-09
0.6,1.8,0,2.0,0.18,1.80010479e-09
0.8,1.8,0,2.0,0.18,0.007163927059999999
1.0,1.8,0,2.0,0.18,0.0991863669
1.2,1.8,0,2.0,0.18,0.297283784
1.4,1.8,0,2.0,0.18,0.6014561780000001
1.6,1.8,0,2.0,0.18,1.01170355
1.8,1.8,0,2.0,0.18,1.5280259
0.0,0.0,0,2.0,0.5,1.0478523300000001e-13
0.2,0.0,0,2.0,0.5,-0.0
0.4,0.0,0,2.0,0.5,-0.0
0.6,0.0,0,2.0,0.5,-0.0
0.8,0.0,0,2.0,0.5,-0.0
1.0,0.0,0,2.0,0.5,-0.0
1.2,0.0,0,2.0,0.5,-0.0
1.4,0.0,0,2.0,0.5,-0.0
1.6,0.0,0,2.0,0.5,-0.0
1.8,0.0,0,2.0,0.5,-0.0
0.0,0.2,0,2.0,0.5,2.00104785e-10
0.2,0.2,0,2.0,0.5,2.00104785e-10
0.4,0.2,0,2.0,0.5,2.00104785e-10
0.6,0.2,0,2.0,0.5,2.00104785e-10
0.8,0.2,0,2.0,0.5,0.00249935266
1.0,0.2,0,2.0,0.5,0.0321048174
1.2,0.2,0,2.0,0.5,0.0691122882
1.4,0.2,0,2.0,0.5,0.106119759
1.6,0.2,0,2.0,0.5,0.14312723
1.8,0.2,0,2.0,0.5,0.180134701
0.0,0.4,0,2.0,0.5,4.00104785e-10
0.2,0.4,0,2.0,0.5,4.00104785e-10
0.4,0.4,0,2.0,0.5,4.00104785e-10
0.6,0.4,0,2.0,0.5,4.00104785e-10
0.8,0.4,0,2.0,0.5,0.00250931044
1.0,0.4,0,2.0,0.5,0.034742035299999995
1.2,0.4,0,2.0,0.5,0.101620361
1.4,0.4,0,2.0,0.5,0.17593018300000002
1.6,0.4,0,2.0,0.5,0.25024000500000004
1.8,0.4,0,2.0,0.5,0.324549827
0.0,0.6,0,2.0,0.5,6.001047849999999e-10
0.2,0.6,0,2.0,0.5,6.001047849999999e-10
0.4,0.6,0,2.0,0.5,6.001047849999999e-10
0.6,0.6,0,2.0,0.5,6.001047849999999e-10
0.8,0.6,0,2.0,0.5,0.0025192682200000003
1.0,0.6,0,2.0,0.5,0.0348799007
1.2,0.6,0,2.0,0.5,0.10454288399999999
1.4,0.6,0,2.0,0.5,0.208988951
1.6,0.6,0,2.0,0.5,0.320896004
1.8,0.6,0,2.0,0.5,0.43280305799999996
0.0,0.8,0,2.0,0.5,8.00104785e-10
0.2,0.8,0,2.0,0.5,8.00104785e-10
0.4,0.8,0,2.0,0.5,8.00104785e-10
0.6,0.8,0,2.0,0.5,8.00104785e-10
0.8,0.8,0,2.0,0.5,0.0025292260000000003
1.0,0.8,0,2.0,0.5,0.0350177661
1.2,0.8,0,2.0,0.5,0.104956097
1.4,0.8,0,2.0,0.5,0.21234422
1.6,0.8,0,2.0,0.5,0.354652908
1.8,0.8,0,2.0,0.5,0.504452073
0.0,1.0,0,2.0,0.5,1.00010479e-09
0.2,1.0,0,2.0,0.5,1.00010479e-09
0.4,1.0,0,2.0,0.5,1.00010479e-09
0.6,1.0,0,2.0,0.5,1.00010479e-09
0.8,1.0,0,2.0,0.5,0.00253918378
1.0,1.0,0,2.0,0.5,0.0351556316
1.2,1.0,0,2.0,0.5,0.10536931100000001
1.4,1.0,0,2.0,0.5,0.213180221
1.6,1.0,0,2.0,0.5,0.35858836299999997
1.8,1.0,0,2.0,0.5,0.539054553
0.0,1.2,0,2.0,0.5,1.20010479e-09
0.2,1.2,0,2.0,0.5,1.20010479e-09
0.4,1.2,0,2.0,0.5,1.20010479e-09
0.6,1.2,0,2.0,0.5,1.20010479e-09
0.8,1.2,0,2.0,0.5,0.00254914156
1.0,1.2,0,2.0,0.5,0.035293497
1.2,1.2,0,2.0,0.5,0.105782524
1.4,1.2,0,2.0,0.5,0.214016222
1.6,1.2,0,2.0,0.5,0.359994592
1.8,1.2,0,2.0,0.5,0.543717633
0.0,1.4,0,2.0,0.5,1.40010479e-09
0.2,1.4,0,2.0,0.5,1.40010479e-09
0.4,1.4,0,2.0,0.5,1.40010479e-09
0.6,1.4,0,2.0,0.5,1.40010479e-09
0.8,1.4,0,2.0,0.5,0.00255909934
1.0,1.4,0,2.0,0.5,0.0354313624
1.2,1.4,0,2.0,0.5,0.106195737
1.4,1.4,0,2.0,0.5,0.214852223
1.6,1.4,0,2.0,0.5,0.361400821
1.8,1.4,0,2.0,0.5,0.54584153
0.0,1.6,0,2.0,0.5,1.6001047900000001e-09
0.2,1.6,0,2.0,0.5,1.6001047900000001e-09
0.4,1.6,0,2.0,0.5,1.6001047900000001e-09
0.6,1.6,0,2.0,0.5,1.6001047900000001e-09
0.8,1.6,0,2.0,0.5,0.00256905712
1.0,1.6,0,2.0,0.5,0.0355692278
1.2,1.6,0,2.0,0.5,0.10660895000000001
1.4,1.6,0,2.0,0.5,0.215688224
1.6,1.6,0,2.0,0.5,0.36280705
1.8,1.6,0,2.0,0.5,0.547965427
0.0,1.8,0,2.0,0.5,1.80010479e-09
0.2,1.8,0,2.0,0.5,1.80010479e-09
0.4,1.8,0,2.0,0.5,1.80010479e-09
0.6,1.8,0,2.0,0.5,1.80010479e-09
0.8,1.8,0,2.0,0.5,0.0025790148899999996
1.0,1.8,0,2.0,0.5,0.0357070932
1.2,1.8,0,2.0,0.5,0.107022163
1.4,1.8,0,2.0,0.5,0.216524225
1.6,1.8,0,2.0,0.5,0.364213279
1.8,1.8,0,2.0,0.5,0.5500893250000001
0.0,0.0,0,2.0,1.0,1.0478523300000001e-13
0.2,0.0,0,2.0,1.0,-0.0
0.4,0.0,0,2.0,1.0,-0.0
0.6,0.0,0,2.0,1.0,-0.0
0.8,0.0,0,2.0,1.0,-0.0
1.0,0.0,0,2.0,1.0,-0.0
1.2,0.0,0,2.0,1.0,-0.0
1.4,0.0,0,2.0,1.0,-0.0
1.6,0.0,0,2.0,1.0,-0.0
1.8,0.0,0,2.0,1.0,-0.0
0.0,0.2,0,2.0,1.0,2.00104785e-10
0.2,0.2,0,2.0,1.0,2.00104785e-10
0.4,0.2,0,2.0,1.0,2.00104785e-10
0.6,0.2,0,2.0,1.0,2.00104785e-10
0.8,0.2,0,2.0,1.0,0.00124967643
1.0,0.2,0,2.0,1.0,0.0160524088
1.2,0.2,0,2.0,1.0,0.0345561442
1.4,0.2,0,2.0,1.0,0.053059879600000005
1.6,0.2,0,2.0,1.0,0.071563615
1.8,0.2,0,2.0,1.0,0.0900673505
0.0,0.4,0,2.0,1.0,4.00104785e-10
0.2,0.4,0,2.0,1.0,4.00104785e-10
0.4,0.4,0,2.0,1.0,4.00104785e-10
0.6,0.4,0,2.0,1.0,4.00104785e-10
0.8,0.4,0,2.0,1.0,0.0012546554200000002
1.0,0.4,0,2.0,1.0,0.0173710178
1.2,0.4,0,2.0,1.0,0.0508101807
1.4,0.4,0,2.0,1.0,0.0879650917
1.6,0.4,0,2.0,1.0,0.125120003
1.8,0.4,0,2.0,1.0,0.162274914
0.0,0.6,0,2.0,1.0,6.001047849999999e-10
0.2,0.6,0,2.0,1.0,6.001047849999999e-10
0.4,0.6,0,2.0,1.0,6.001047849999999e-10
0.6,0.6,0,2.0,1.0,6.001047849999999e-10
0.8,0.6,0,2.0,1.0,0.00125963441
1.0,0.6,0,2.0,1.0,0.0174399507
1.2,0.6,0,2.0,1.0,0.0522714424
1.4,0.6,0,2.0,1.0,0.104494476
1.6,0.6,0,2.0,1.0,0.160448003
1.8,0.6,0,2.0,1.0,0.21640152899999998
0.0,0.8,0,2.0,1.0,8.00104785e-10
0.2,0.8,0,2.0,1.0,8.00104785e-10
0.4,0.8,0,2.0,1.0,8.00104785e-10
0.6,0.8,0,2.0,1.0,8.00104785e-10
0.8,0.8,0,2.0,1.0,0.0012646134
1.0,0.8,0,2.0,1.0,0.0175088835
1.2,0.8,0,2.0,1.0,0.0524780491
1.4,0.8,0,2.0,1.0,0.10617211
1.6,0.8,0,2.0,1.0,0.177326455
1.8,0.8,0,2.0,1.0,0.252226037
0.0,1.0,0,2.0,1.0,1.00010479e-09
0.2,1.0,0,2.0,1.0,1.00010479e-09
