VGS_V,VDS_V,ID_mA,Region
0.0,0.0,1e-11,OFF
0.1,0.0,-0.0,OFF
0.2,0.0,-0.0,OFF
0.3,0.0,-0.0,OFF
0.4,0.0,-0.0,OFF
0.5,0.0,-0.0,OFF
0.6,0.0,-0.0,OFF
0.7,0.0,-0.0,OFF
0.8,0.0,-0.0,TRIODE
0.9,0.0,-0.0,TRIODE
1.0,0.0,-0.0,TRIODE
1.1,0.0,-0.0,TRIODE
1.2,0.0,-0.0,TRIODE
1.3,0.0,-0.0,TRIODE
1.4,0.0,-0.0,TRIODE
1.5,0.0,-0.0,TRIODE
1.6,0.0,-0.0,TRIODE
1.7,0.0,-0.0,TRIODE
1.8,0.0,-0.0,TRIODE
0.0,0.1,1.1e-10,OFF
0.1,0.1,1.1e-10,OFF
0.2,0.1,1.1e-10,OFF
0.3,0.1,1.1e-10,OFF
0.4,0.1,1.1e-10,OFF
0.5,0.1,1.1e-10,OFF
0.6,0.1,1.1e-10,OFF
0.7,0.1,1.1e-10,OFF
0.8,0.1,0.0100200001,TRIODE
0.9,0.1,0.030060000099999998,TRIODE
1.0,0.1,0.0501000001,TRIODE
1.1,0.1,0.07014000009999999,TRIODE
1.2,0.1,0.0901800001,TRIODE
1.3,0.1,0.11022,TRIODE
1.4,0.1,0.13026,TRIODE
1.5,0.1,0.1503,TRIODE
1.6,0.1,0.17034,TRIODE
1.7,0.1,0.19038,TRIODE
1.8,0.1,0.21042,TRIODE
0.0,0.2,2.1e-10,OFF
0.1,0.2,2.1e-10,OFF
0.2,0.2,2.1e-10,OFF
0.3,0.2,2.1e-10,OFF
0.4,0.2,2.1e-10,OFF
0.5,0.2,2.1e-10,OFF
0.6,0.2,2.1e-10,OFF
0.7,0.2,2.1e-10,OFF
0.8,0.2,0.0100400002,SATURATION
0.9,0.2,0.0401600002,TRIODE
1.0,0.2,0.0803200002,TRIODE
1.1,0.2,0.12048,TRIODE
1.2,0.2,0.16064,TRIODE
1.3,0.2,0.2008,TRIODE
1.4,0.2,0.24096,TRIODE
1.5,0.2,0.28112,TRIODE
1.6,0.2,0.32128,TRIODE
1.7,0.2,0.36144,TRIODE
1.8,0.2,0.4016,TRIODE
0.0,0.3,3.1e-10,OFF
0.1,0.3,3.1e-10,OFF
0.2,0.3,3.1e-10,OFF
0.3,0.3,3.1e-10,OFF
0.4,0.3,3.1e-10,OFF
0.5,0.3,3.1e-10,OFF
0.6,0.3,3.1e-10,OFF
0.7,0.3,3.1e-10,OFF
0.8,0.3,0.0100600003,SATURATION
0.9,0.3,0.0402400003,SATURATION
1.0,0.3,0.09054000029999999,TRIODE
1.1,0.3,0.1509,TRIODE
1.2,0.3,0.21126,TRIODE
1.3,0.3,0.27162,TRIODE
1.4,0.3,0.33198,TRIODE
1.5,0.3,0.39233999999999997,TRIODE
1.6,0.3,0.4527,TRIODE
1.7,0.3,0.51306,TRIODE
1.8,0.3,0.57342,TRIODE
0.0,0.4,4.1000000000000003e-10,OFF
0.1,0.4,4.1000000000000003e-10,OFF
0.2,0.4,4.1000000000000003e-10,OFF
0.3,0.4,4.1000000000000003e-10,OFF
0.4,0.4,4.1000000000000003e-10,OFF
0.5,0.4,4.1000000000000003e-10,OFF
0.6,0.4,4.1000000000000003e-10,OFF
0.7,0.4,4.1000000000000003e-10,OFF
0.8,0.4,0.0100800004,SATURATION
0.9,0.4,0.0403200004,SATURATION
1.0,0.4,0.0907200004,SATURATION
1.1,0.4,0.16128,TRIODE
1.2,0.4,0.24192,TRIODE
1.3,0.4,0.32256,TRIODE
1.4,0.4,0.4032,TRIODE
1.5,0.4,0.48384,TRIODE
1.6,0.4,0.56448,TRIODE
1.7,0.4,0.64512,TRIODE
1.8,0.4,0.72576,TRIODE
0.0,0.5,5.100000000000001e-10,OFF
0.1,0.5,5.100000000000001e-10,OFF
0.2,0.5,5.100000000000001e-10,OFF
0.3,0.5,5.100000000000001e-10,OFF
0.4,0.5,5.100000000000001e-10,OFF
0.5,0.5,5.100000000000001e-10,OFF
0.6,0.5,5.100000000000001e-10,OFF
0.7,0.5,5.100000000000001e-10,OFF
0.8,0.5,0.0101000005,SATURATION
0.9,0.5,0.0404000005,SATURATION
1.0,0.5,0.0909000005,SATURATION
1.1,0.5,0.161600001,SATURATION
1.2,0.5,0.25250000100000003,SATURATION
1.3,0.5,0.353500001,TRIODE
1.4,0.5,0.454500001,TRIODE
1.5,0.5,0.555500001,TRIODE
1.6,0.5,0.6565000009999999,TRIODE
1.7,0.5,0.757500001,TRIODE
1.8,0.5,0.858500001,TRIODE
0.0,0.6,6.100000000000001e-10,OFF
0.1,0.6,6.100000000000001e-10,OFF
0.2,0.6,6.100000000000001e-10,OFF
0.3,0.6,6.100000000000001e-10,OFF
0.4,0.6,6.100000000000001e-10,OFF
0.5,0.6,6.100000000000001e-10,OFF
0.6,0.6,6.100000000000001e-10,OFF
0.7,0.6,6.100000000000001e-10,OFF
0.8,0.6,0.0101200006,SATURATION
0.9,0.6,0.0404800006,SATURATION
1.0,0.6,0.0910800006,SATURATION
1.1,0.6,0.16192000099999998,SATURATION
1.2,0.6,0.25300000100000003,SATURATION
1.3,0.6,0.364320001,TRIODE
1.4,0.6,0.485760001,TRIODE
1.5,0.6,0.607200001,TRIODE
1.6,0.6,0.728640001,TRIODE
1.7,0.6,0.850080001,TRIODE
1.8,0.6,0.971520001,TRIODE
0.0,0.7,7.1e-10,OFF
0.1,0.7,7.1e-10,OFF
0.2,0.7,7.1e-10,OFF
0.3,0.7,7.1e-10,OFF
0.4,0.7,7.1e-10,OFF
0.5,0.7,7.1e-10,OFF
0.6,0.7,7.1e-10,OFF
0.7,0.7,7.1e-10,OFF
0.8,0.7,0.0101400007,SATURATION
0.9,0.7,0.0405600007,SATURATION
1.0,0.7,0.0912600007,SATURATION
1.1,0.7,0.162240001,SATURATION
1.2,0.7,0.253500001,SATURATION
1.3,0.7,0.365040001,SATURATION
1.4,0.7,0.496860001,SATURATION
1.5,0.7,0.638820001,TRIODE
1.6,0.7,0.780780001,TRIODE
1.7,0.7,0.922740001,TRIODE
1.8,0.7,1.0647,TRIODE
0.0,0.8,8.1e-10,OFF
