Corner,Temperature_C,VDS_V,Vth_V
tt,0,0.6,6.788048e-01
tt,0,0.9,6.644491e-01
tt,0,1.2,6.535014e-01
tt,0,1.5,6.445702e-01
tt,0,1.8,6.370783e-01
tt,25,0.6,6.612040e-01
tt,25,0.9,6.466358e-01
tt,25,1.2,6.353470e-01
tt,25,1.5,6.261404e-01
tt,25,1.8,6.184037e-01
tt,50,0.6,6.441784e-01
tt,50,0.9,6.295571e-01
tt,50,1.2,6.178389e-01
tt,50,1.5,6.083007e-01
tt,50,1.8,6.002371e-01
tt,75,0.6,6.278010e-01
tt,75,0.9,6.126191e-01
tt,75,1.2,6.007272e-01
tt,75,1.5,5.907912e-01
tt,75,1.8,5.821951e-01
tt,100,0.6,6.117067e-01
tt,100,0.9,5.960874e-01
tt,100,1.2,5.836914e-01
tt,100,1.5,5.733821e-01
tt,100,1.8,5.644914e-01
tt,125,0.6,5.957604e-01
tt,125,0.9,5.799778e-01
tt,125,1.2,5.670243e-01
tt,125,1.5,5.563006e-01
tt,125,1.8,5.470819e-01
ff,0,0.6,6.122667e-01
ff,0,0.9,5.966400e-01
ff,0,1.2,5.848796e-01
ff,0,1.5,5.754085e-01
ff,0,1.8,5.674472e-01
ff,25,0.6,5.947850e-01
ff,25,0.9,5.786153e-01
ff,25,1.2,5.661482e-01
ff,25,1.5,5.561208e-01
ff,25,1.8,5.476566e-01
ff,50,0.6,5.778412e-01
ff,50,0.9,5.608721e-01
ff,50,1.2,5.477917e-01
ff,50,1.5,5.371638e-01
ff,50,1.8,5.281779e-01
ff,75,0.6,5.611461e-01
ff,75,0.9,5.432422e-01
ff,75,1.2,5.297389e-01
ff,75,1.5,5.184709e-01
ff,75,1.8,5.089438e-01
ff,100,0.6,5.444890e-01
ff,100,0.9,5.259179e-01
ff,100,1.2,5.116530e-01
ff,100,1.5,4.999970e-01
ff,100,1.8,4.899094e-01
ff,125,0.6,5.281713e-01
ff,125,0.9,5.088614e-01
ff,125,1.2,4.937458e-01
ff,125,1.5,4.814685e-01
ff,125,1.8,4.708958e-01
ss,0,0.6,7.448936e-01
ss,0,0.9,7.320948e-01
ss,0,1.2,7.217845e-01
ss,0,1.5,7.131442e-01
ss,0,1.8,7.057843e-01
ss,25,0.6,7.264776e-01
ss,25,0.9,7.136764e-01
ss,25,1.2,7.033311e-01
ss,25,1.5,6.946516e-01
ss,25,1.8,6.872535e-01
ss,50,0.6,7.091861e-01
ss,50,0.9,6.962703e-01
ss,50,1.2,6.858245e-01
ss,50,1.5,6.770681e-01
ss,50,1.8,6.696134e-01
ss,75,0.6,6.924216e-01
ss,75,0.9,6.796957e-01
ss,75,1.2,6.690898e-01
ss,75,1.5,6.601868e-01
ss,75,1.8,6.522864e-01
ss,100,0.6,6.762494e-01
ss,100,0.9,6.633040e-01
ss,100,1.2,6.525948e-01
ss,100,1.5,6.434283e-01
ss,100,1.8,6.354377e-01
ss,125,0.6,6.606217e-01
ss,125,0.9,6.474437e-01
ss,125,1.2,6.365012e-01
ss,125,1.5,6.271698e-01
ss,125,1.8,6.190637e-01
fs,0,0.6,7.711695e-01
fs,0,0.9,7.590018e-01
fs,0,1.2,7.490364e-01
fs,0,1.5,7.406658e-01
fs,0,1.8,7.332962e-01
fs,25,0.6,7.518059e-01
fs,25,0.9,7.398838e-01
fs,25,1.2,7.299842e-01
fs,25,1.5,7.214978e-01
fs,25,1.8,7.141444e-01
fs,50,0.6,7.335867e-01
fs,50,0.9,7.217207e-01
fs,50,1.2,7.118220e-01
fs,50,1.5,7.033455e-01
fs,50,1.8,6.960077e-01
fs,75,0.6,7.163166e-01
fs,75,0.9,7.044179e-01
fs,75,1.2,6.944931e-01
fs,75,1.5,6.860059e-01
fs,75,1.8,6.786740e-01
fs,100,0.6,6.998611e-01
fs,100,0.9,6.878643e-01
fs,100,1.2,6.778736e-01
fs,100,1.5,6.693511e-01
fs,100,1.8,6.617279e-01
fs,125,0.6,6.835730e-01
fs,125,0.9,6.717101e-01
fs,125,1.2,6.616277e-01
fs,125,1.5,6.528510e-01
fs,125,1.8,6.451165e-01
sf,0,0.6,5.904813e-01
sf,0,0.9,5.747306e-01
sf,0,1.2,5.630483e-01
sf,0,1.5,5.535642e-01
sf,0,1.8,5.455304e-01
sf,25,0.6,5.729940e-01
sf,25,0.9,5.567147e-01
sf,25,1.2,5.443319e-01
sf,25,1.5,5.343030e-01
sf,25,1.8,5.257837e-01
sf,50,0.6,5.560248e-01
sf,50,0.9,5.391322e-01
sf,50,1.2,5.259738e-01
sf,50,1.5,5.153557e-01
sf,50,1.8,5.063302e-01
sf,75,0.6,5.394967e-01
sf,75,0.9,5.216133e-01
sf,75,1.2,5.079094e-01
sf,75,1.5,4.966621e-01
sf,75,1.8,4.871090e-01
sf,100,0.6,5.228678e-01
sf,100,0.9,5.042538e-01
sf,100,1.2,4.900790e-01
sf,100,1.5,4.781808e-01
sf,100,1.8,4.680795e-01
sf,125,0.6,5.064978e-01
sf,125,0.9,4.871585e-01
sf,125,1.2,4.721420e-01
sf,125,1.5,4.598813e-01
sf,125,1.8,4.492129e-01
